nome;frequencia;no_casos
CINIRA;34;1
CIPRIANA;34;1
DELMINDA;34;1
EDNALVA;34;1
ELYDIA;34;1
GERONIMA;34;1
HOSANA;34;1
LEONILA;34;1
MINELVINA;34;1
MODESTA;34;1
NILSA;34;1
PLACIDA;34;1
RAMONA;34;1
SEVERIANA;34;1
ZULEICA;34;1
CINTIA;33;1
DANIELE;33;1
EROTIDES;33;1
IRINEA;33;1
IZA;33;1
JOSELIA;33;1
LIBERATA;33;1
NIVALDA;33;1
OFELIA;33;1
SERGIA;33;1
WALDOMIRA;33;1
ZELI;33;1
DOMINGOS;32;1
DOMITILIA;32;1
GERALDO;32;1
ILKA;32;1
JANICE;32;1
LIZETE;32;1
MIRTES;32;1
NOELI;32;1
QUINTINA;32;1
ROSALVA;32;1
ROSEMEIRE;32;1
SEVERA;32;1
TIBURCIA;32;1
VITA;32;1
ALMINDA;31;1
DARIA;31;1
DEISE;31;1
DOROTEIA;31;1
EVARISTA;31;1
FLORIANA;31;1
GLAUCIA;31;1
HAYDEE;31;1
IRACILDA;31;1
JARDILINA;31;1
JUVITA;31;1
LILIA;31;1
LUCELIA;31;1
NEIVA;31;1
ROSITA;31;1
TECLA;31;1
VALDA;31;1
VERGILIA;31;1
ZENITH;31;1
AGDA;30;1
AURELIANA;30;1
BIBIANA;30;1
BRANCA;30;1
DESCONHECIDA;30;1
ELIZANGELA;30;1
EPHIGENIA;30;1
LEOLINA;30;1
NAIDE;30;1
ONORINA;30;1
OZANA;30;1
ALTIVA;29;1
CARMOZINA;29;1
CEZIRA;29;1
CIRENE;29;1
ELVINA;29;1
EM+LIA;29;1
FLORISA;29;1
GUMERCINDA;29;1
ISA;29;1
IZIDORA;29;1
JACINTHA;29;1
LUCIANE;29;1
LUCIMARA;29;1
MARCULINA;29;1
NADIA;29;1
NEYDE;29;1
PUREZA;29;1
TOMASIA;29;1
VANDERLEIA;29;1
ADALIA;28;1
ALAIDES;28;1
ALIETE;28;1
ARMANDA;28;1
CAPITULINA;28;1
EDVIRGES;28;1
EGIDIA;28;1
ERIKA;28;1
ERNA;28;1
GERUZA;28;1
GISLAINE;28;1
GRACIANA;28;1
IN;28;1
IRINEIA;28;1
OZORIA;28;1
PLACIDINA;28;1
REGIANE;28;1
