nome;frequencia;no_casos
DAVI;17;1
DEMETRIO;17;1
DIOLINDA;17;1
DURVALINA;17;1
ELEUTERIO;17;1
ELIDIA;17;1
EM+LIA;17;1
ERMELINDA;17;1
ESMERALDINA;17;1
EUFROSINA;17;1
FERNADES;17;1
FRAGOSO;17;1
FRANCELINO;17;1
FREDERICO;17;1
IDA;17;1
ILZA;17;1
JACIRA;17;1
JOS#;17;1
JTLIA;17;1
LUCIMAR;17;1
MARI;17;1
MARIN;17;1
MARTINHO;17;1
MAXIMIANA;17;1
NAVES;17;1
NILCE;17;1
PAIXÂ¦O;17;1
PRIMO;17;1
RUTE;17;1
SALGUEIRO;17;1
SIMONE;17;1
SIMPLICIA;17;1
UCHOA;17;1
VIERA;17;1
VILLELA;17;1
ZENAIDE;17;1
AJUDA;16;1
ALCIDES;16;1
ALVIM;16;1
ANDREZA;16;1
ANUNCIATA;16;1
APARECIDO;16;1
ARANHA;16;1
ASSUNCÂ¦O;16;1
AVELAR;16;1
BAIA;16;1
BELMIRO;16;1
CAMILLA;16;1
CANUTA;16;1
CLAUDETE;16;1
COLARES;16;1
COLETA;16;1
CRISTOVAO;16;1
EDITH;16;1
EMIDIO;16;1
EMILIANO;16;1
ESP;16;1
ESPERANCA;16;1
ESTEVAN;16;1
GRACIA;16;1
HOSANA;16;1
IN;16;1
JULIO;16;1
LORDES;16;1
LOURENÂ¦O;16;1
MANOELINA;16;1
MARLI;16;1
ODILA;16;1
PERCILIA;16;1
PRUDENCIO;16;1
PUPO;16;1
QUINTINA;16;1
REBOUCAS;16;1
ROZALINA;16;1
SEABRA;16;1
SERGIA;16;1
SEVERIANA;16;1
STELA;16;1
TABORDA;16;1
TEOTONIA;16;1
THOME;16;1
TIAGO;16;1
VERGINIA;16;1
ALBANO;15;1
AMBROSIA;15;1
AURELIANO;15;1
AZAMBUJA;15;1
BALDUINO;15;1
BALTAZAR;15;1
BELLO;15;1
BENTES;15;1
BETANIA;15;1
BRASILIA;15;1
BRAVO;15;1
CANTO;15;1
CARMELINA;15;1
CESARINA;15;1
CEZARINA;15;1
CORDULINA;15;1
DAVINA;15;1
DORCELINA;15;1
