nome;frequencia;no_casos
REJANE;32;1
TEXEIRA;32;1
URBANO;32;1
APPARECIDO;31;1
BRUM;31;1
CUSTODIA;31;1
DELLA;31;1
DOURADO;31;1
EVA;31;1
EZEQUIEL;31;1
FIGUEREDO;31;1
FIRMO;31;1
FONTOURA;31;1
HERMINIO;31;1
LUNA;31;1
MOLINA;31;1
NEUSA;31;1
NOBERTO;31;1
PESSANHA;31;1
PROCOPIO;31;1
QUARESMA;31;1
SAMUEL;31;1
SANTINA;31;1
SARMENTO;31;1
SAVIO;31;1
VILMA;31;1
ATAIDE;30;1
DALLA;30;1
GOIS;30;1
GOUVEA;30;1
HIGINO;30;1
JUNQUEIRA;30;1
LOBATO;30;1
LUCINDA;30;1
MACENA;30;1
NIVALDO;30;1
PERPETUO;30;1
SALVIANO;30;1
SENHORA;30;1
TERRA;30;1
VILA;30;1
VIRGENS;30;1
ADELIA;29;1
AVELINA;29;1
BENEDICTA;29;1
DELFINA;29;1
GILSON;29;1
GIMENES;29;1
GUIMARÂ¦ES;29;1
HERNANDES;29;1
ISRAEL;29;1
JACINTA;29;1
JAIME;29;1
JUNIO;29;1
MARINA;29;1
MARTINIANO;29;1
MARY;29;1
MOACIR;29;1
MUNHOZ;29;1
NAVARRO;29;1
NOVAIS;29;1
TAVEIRA;29;1
TOMAS;29;1
AMALIA;28;1
ANDREA;28;1
ANTERO;28;1
ARC;28;1
CAMELO;28;1
CAMILA;28;1
CASSIO;28;1
CEU;28;1
CORTES;28;1
EUCLIDES;28;1
EULALIA;28;1
GUILHERMINA;28;1
IMACULADA;28;1
IZIDIO;28;1
LAUREANO;28;1
LAURINDA;28;1
LEOPOLDINO;28;1
LEOPOLDO;28;1
MEIRELLES;28;1
NATALINO;28;1
NAZARIO;28;1
PUREZA;28;1
ROMANO;28;1
SABINA;28;1
SANCHEZ;28;1
ACACIO;27;1
ALVIM;27;1
ANITA;27;1
ARISTIDES;27;1
BOA;27;1
CAVALHEIRO;27;1
