nome;frequencia;no_casos
GONCALO;11;1
GRILLO;11;1
GROSSI;11;1
GUIA;11;1
ISAIAS;11;1
JESUINO;11;1
JUVENCIO;11;1
KATO;11;1
KUNZ;11;1
LIMAS;11;1
LUCINDO;11;1
LYRIO;11;1
MALHEIROS;11;1
MASSA;11;1
MICHEL;11;1
MILITAO;11;1
MONTOVANI;11;1
NASCIMENT;11;1
NICACIO;11;1
PAIS;11;1
PALHARES;11;1
PAMPLONA;11;1
PENIDO;11;1
PERALTA;11;1
PERINI;11;1
PERON;11;1
PLACIDO;11;1
PUPO;11;1
RITTER;11;1
RN;11;1
ROSSETTI;11;1
ROSSINI;11;1
SAMUEL;11;1
SANT;11;1
SANTORO;11;1
SCHIMIDT;11;1
SCHULZ;11;1
SIL;11;1
SIMON;11;1
SNTOS;11;1
THIAGO;11;1
TITO;11;1
TOURINHO;11;1
TRIGO;11;1
WERNER;11;1
WOLFF;11;1
ZANINI;11;1
ZIMMERMANN;11;1
ABEL;10;1
ACOSTA;10;1
ALMADA;10;1
AMORIN;10;1
BELIZARIO;10;1
BERGAMO;10;1
BOM;10;1
BRAS;10;1
CARRARA;10;1
CARRIEL;10;1
CASADO;10;1
CASTANHEIRA;10;1
CASTELO;10;1
CONSTANTE;10;1
COQUEIRO;10;1
COTA;10;1
DEODATO;10;1
DEOLIVEIRA;10;1
EMILIANO;10;1
ESPOSITO;10;1
EZEQUIEL;10;1
FABRIS;10;1
FRADE;10;1
FURLANETTO;10;1
GABARDO;10;1
GANDRA;10;1
GIUSTI;10;1
GOMEZ;10;1
GONÂ¦ALVES;10;1
GROSSO;10;1
II;10;1
IKEDA;10;1
IVO;10;1
IZABEL;10;1
KOBAYASHI;10;1
LADISLAU;10;1
LAVOR;10;1
LIMEIRA;10;1
MAGNO;10;1
MARANGONI;10;1
MATOSO;10;1
MILANEZ;10;1
NACIMENTO;10;1
NARCIZO;10;1
OLIVEI;10;1
OLIVEIR;10;1
ONOFRE;10;1
ORLANDI;10;1
ORNELLAS;10;1
PADOVANI;10;1
PALHETA;10;1
PASTOR;10;1
PRANDO;10;1
QUERINO;10;1
QUINTAO;10;1
QUINTILIANO;10;1
RAMIREZ;10;1
REAL;10;1
RISSO;10;1
SALVI;10;1
SALVO;10;1
SILA;10;1
SIMÂ¦O;10;1
SLVA;10;1
SPINOLA;10;1
SPOSITO;10;1
TARGINO;10;1
TORRE;10;1
TRAVASSOS;10;1
VAL;10;1
VALERIANO;10;1
VELOZO;10;1
VERA;10;1
VICTORIA;10;1
VIRGILIO;10;1
XIMENES;10;1
ZAMBON;10;1
ZAMBONI;10;1
ABADIA;9;1
ALBERNAZ;9;1
ANICETO;9;1
ANTONELLI;9;1
ARAGÂ¦O;9;1
ARGOLO;9;1
AUGUSTINHO;9;1
BAGGIO;9;1
BARATA;9;1
BATALHA;9;1
BELFORT;9;1
BELTRAO;9;1
BEM;9;1
BENETTI;9;1
BENICIO;9;1
BERTOLI;9;1
BO;9;1
BOENO;9;1
BONI;9;1
BONILHA;9;1
BORELLI;9;1
BORIN;9;1
BRANDINO;9;1
BRANDO;9;1
BRAUN;9;1
CABOCLO;9;1
CALEGARI;9;1
CALISTO;9;1
CALVO;9;1
CARPES;9;1
CARRICO;9;1
CASTILHOS;9;1
CECILIO;9;1
CONSTANCIO;9;1
CORDOVIL;9;1
COTTA;9;1
CRAVO;9;1
CYPRIANO;9;1
DARIO;9;1
DELMONDES;9;1
DURAO;9;1
ELEOTERIO;9;1
ELEUTERIO;9;1
EMILIO;9;1
EUFRASIO;9;1
FACHINI;9;1
FERRAO;9;1
FIGUEIRO;9;1
FRANKLIN;9;1
GAGLIARDI;9;1
GALLEGO;9;1
GALLI;9;1
GENUINO;9;1
GEREMIAS;9;1
GIRARDI;9;1
GON#ALVES;9;1
GURGEL;9;1
HASS;9;1
HERMENEGILDO;9;1
HORTA;9;1
JACINTHO;9;1
JERONYMO;9;1
JULIANO;9;1
KOCH;9;1
KOHLER;9;1
KUHN;9;1
LAIA;9;1
LELIS;9;1
LIRIO;9;1
MAGRI;9;1
MAGRINI;9;1
MALACHIAS;9;1
MALDONADO;9;1
MALLMANN;9;1
MARCELLO;9;1
MARIANI;9;1
MARIM;9;1
MARRA;9;1
MARTINIANO;9;1
MORA;9;1
MORTE;9;1
MOSER;9;1
MUELLER;9;1
OSHIRO;9;1
OTERO;9;1
PACIFICO;9;1
PEGO;9;1
PICANCO;9;1
PUREZA;9;1
RAPHAEL;9;1
ROJAS;9;1
ROSENDO;9;1
SANTIN;9;1
SCHERER;9;1
SCHWARTZ;9;1
SENE;9;1
SIILVA;9;1
SIMIAO;9;1
SIMIONI;9;1
SOEIRO;9;1
SPADA;9;1
SPINDOLA;9;1
STEFANI;9;1
TEOTONIO;9;1
TEREZA;9;1
