nome;frequencia;no_casos
ZILMA;26;1
ADENIR;25;1
ALDAIR;25;1
ALOYSIO;25;1
AMERICA;25;1
ANEZIA;25;1
CARLINDO;25;1
CARMO;25;1
CLOTILDES;25;1
CRISTIANA;25;1
DEVAIR;25;1
DORACY;25;1
ELIEL;25;1
FRANCINALDO;25;1
HERMENEGILDO;25;1
ILDEU;25;1
IVAIR;25;1
JAMIL;25;1
JANUARIO;25;1
JEANE;25;1
KARLA;25;1
LIZETE;25;1
MACIEL;25;1
NEIVA;25;1
NICE;25;1
NILVA;25;1
NUBIA;25;1
PASCHOAL;25;1
ROMARIO;25;1
SALOMAO;25;1
SILMARA;25;1
SINESIO;25;1
UMBERTO;25;1
VITAL;25;1
WANDER;25;1
WLADIMIR;25;1
ZELINDA;25;1
ALBANO;24;1
ALICIO;24;1
AMANCIO;24;1
ANASTACIO;24;1
ANTONI;24;1
AUTA;24;1
BRIGIDA;24;1
CLAUDEMIRO;24;1
CLOVES;24;1
EPAMINONDAS;24;1
ESTELA;24;1
GERVASIO;24;1
GUTEMBERG;24;1
HERALDO;24;1
HERBERT;24;1
HONORATO;24;1
HOSANA;24;1
ISAC;24;1
